Agency,ContactEmail,ContactName,ContactPhone,CustomId,ProjectNumber,ProjectType,additional_information,award_description,awarded_to,contract_amount,published_date,sub_contract_award
"Administrative Offices of the Trial CourtsCourt Facilities Bureau/Administrative ServiceSuffolk County Courthouse3 Pemberton Square 2nd Floor Room 207Boston, MA 02108",Notify email address listed when final publish date assigned.,Tony Granager,617725-3173,CAN7/1/20087/10/200800034,CT20080000022508ESJSEW,General Contract , ,"Elevator maintenance services at the John Adams, Suffolk County, (high rise), Edward W. Brooke, and the Worcester Trial Court Courthouses.","3 Phase Elevator Corp.41 Brooks Drive Suite 1002Braintree, MA 02184","Year 1, $682,569; Year 2, $704,369; Year 3, $728,269", 7/9/2008, 
"Administrative Offices of the Trial CourtsCourt Facilities Bureau/Administrative ServicesSuffolk County Courthouse3 Pemberton Square 2nd Floor Room #207Boston, MA 02108",Notify email address listed when final publish date assigned.,Tony Granger,617-725-3173,CAN7/1/20087/10/200800035,CT20080228022508EMS16C,General Contract , ,Elevator Maintenance Services at 16 specified court facilities owned by the Commonwealth of Massachusetts.,"ThyssenKrupp Elevator Corp.299 Hartford TurnpikeShrewsbury, MA 01545","Year 1, $59,000; Year 2, $63,000; Year 3, $66,150", 7/9/2008, 
"Andover, Town of36 Bartlet St.Andover, MA  01810",Notify email address listed when final publish date assigned.,"Elaine M. Shola, Purchasing Agent",978-623-8216,CAN7/1/20087/10/200800036,Bid No. 026/04-08/301,General Contract , ,Sewer Construction at Kirkland Drive.,"G.V.W., Inc.1200 Bennington St.East Boston, MA 02128","$146,948.00", 7/9/2008, 
"Avon, Town ofHousing Authority1 Fellowship CircleAvon, MA 02322",Notify email address listed when final publish date assigned.,Sherry Guilbault,508-588-1847,CAN7/1/20087/10/200800037,018011,General Contract , ,"Capital Improvement Project at Fellowship Circle,  Development 667-1 Site Work.","Murray Paving & Reclamation, Inc.39 Taylor St.Framingham, MA 01701","$342,546.00", 7/9/2008, 
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Dan Casals,617-988-4041,CAN7/1/20087/10/200800038,07D-WB-004,General Contract , ,Washington Beech HOPE VI Evaluation Services.,"University of Massachusetts - Boston100 Morrisey BoulevardBoston, MA 02125","$219,341.48", 7/9/2008, 
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Dan Casals,617-988-4041,CAN7/1/20087/10/200800039,07D-WB-003,General Contract , ,Washington Beech HOPE VI Redevelopment Legal Services.,"Krokidas & Bluestein600 Atlantic Ave.Boston, MA 02210 AND Reno & Cavanaugh (jointly)1250 Eye St. Northwest Suite 900Washington, DC 20005","$289,419.00", 7/9/2008, 
"Cambridge, City ofPurchasing Department795 Massachusetts Ave.Cambridge, MA 02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN7/1/20087/10/200800040, ,General Contract , ,Masonry Repairs for City and School Buildings.,"Chapman Waterproofing Co.395 Columbia Rd.Boston, MA 02125","$60,270.00", 7/9/2008, 
"Cambridge, City ofPurchasing Department795 Massachusetts Ave.Cambridge, MA 02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN7/1/20087/10/200800041, ,General Contract , ,window and Glass Replacement for City and School Buildings.,"Hub Glass Services, Inc.216 McGrath HighwaySomerville, MA  02143","$59,000.00", 7/9/2008, 
"Canton, Town of  Department of Public Works801 Washington St.Canton, MA 02021",Notify email address listed when final publish date assigned.,Bryan Ruoff,617-498-7800,CAN7/1/20087/10/200800042,2007405.01-A,General Contract , ,Phase I:  Watermain Upgrades.,"Tiffany Equipment & Construction, Inc.100 Maryann WayTaunton, MA 02780","$958,908.55", 7/9/2008, 
"Capital Asset Management and Maintenance, Division ofOne Ashburton PlaceBoston, MA 02108",Notify email address listed when final publish date assigned.,Nicholas J. Tsaparlis R.E. Transactions Manager,617-727-8090,CAN7/1/20087/10/200800043, ,Real Property , ,"The lease of approximately 5,000 square feet of land at the Massachusetts Highway Department (MHD) Maintenance Depot located at 250 County Rd./Route 1A in Ipswich for the purpose of installing, operating and maintaining telecommunications equipment.","Green Mountain Realty Corp.254 South Main St.Rutland, VT 05701","$171,958 (minimum for a ten-year lease term)", 7/9/2008, 
"Capital Asset Management, Division of One Ashburton Place 15th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Gail Rosenberg,617-727-4050,CAN7/1/20087/10/200800044,HCC0801 ST1,Designer Services , ,"Building Renovations and Backfill at Holyoke Community College (DSB List #08-06, Item #1).","H.K.T. Architects, Inc.35 Medford St.Somerville, MA 02143","$300,000", 7/9/2008, 
"Capital Asset Management, Division of One Ashburton Place 15th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Ann Storer,617-727-4050,CAN7/1/20087/10/200800045,UMA0803 ST1,Designer Services , ,"New Laboratory Science Facilities at University of Massachusetts, Amherst (DSB List #08-07, Item #1).","Wilson Architects, Inc.374 Congress St. Suite 400Boston, MA 02210","$1,050,000.", 7/9/2008, 
"Capital Asset Management, Division of One Ashburton Place 15th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Robert Barry,617-727-4050,CAN7/1/20087/10/200800046,DCP0809 HD2,Designer Services , ,"Study and Design for Mechanical and Electrical Repairs and Renovations at Multiple State and County Facilities (DSB List #08-01, Item #4).","Fay, Spofford & Thorndike5 Burlington WoodsBurlington, MA 01803","$500,000", 7/9/2008, 
"Capital Asset Management, Division of One Ashburton Place 15th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Robert Barry,617-727-4050,CAN7/1/20087/10/200800047,DCP0809 HD3,Designer Services , ,"Study and Design for Mechanical and Electrical Repairs and Renovations at Multiple State and County Facilities (DSB List #08-01, Item #4).","R.P. Jarvis Engineering14 Brook DriveFairhaven, MA 02719","$500,000", 7/9/2008, 
"Capital Asset Management, Division of One Ashburton Place 15th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Robert Barry,617-727-4050,CAN7/1/20087/10/200800048,DCP0809 HD4,Designer Services , ,"Study and Design for Mechanical and Electrical Repairs and Renovations at Multiple State and County Facilities (DSB List #08-01, Item #4).","R.D.K. Engineers200 Brickstone SquareAndover, MA 01810","$500,000.", 7/9/2008, 
"Chelmsford, Town ofHousing Authority10 Wilson St.Chelmsford, MA 01824",Notify email address listed when final publish date assigned.,David J Hedison,978-256-7425,CAN7/1/20087/10/200800049,056028,General Contract , ,New Construction at 4BR Ranch Duplex Modular Construction.,"Eastern General Contractors, Inc52-60 Berkshire Ave.Springfield, MA 01109","$1,410,000", 7/9/2008, 
"Chester, Town ofBoard Of Selectmen15 Middlefield Rd. Chester, MA 01011",Notify email address listed when final publish date assigned.,John R. Hoppe,413-354-2276,CAN7/1/20087/10/200800050,Bromley Road,General Contract , ,"Contract for the Cold-in-Place Type 2 method, for 4600 Linear Feet by 22 feet in width on Bromley Rd.","The Gorman Group200 Church St.Port of AlbanyAlbany, NY 12202","$54,000", 7/9/2008, 
"Concord, Town ofMunicipal Light PlantP. O. Box 10291175 Elm St.Concord, MA 01742",Notify email address listed when final publish date assigned.,Julia Whiteneck,978-318-3112,CAN7/1/20087/10/200800051,Contract 1137,General Contract , ,Emerson Field Underground Project 2008.,"Bay State Piping Co., Inc.467 Wareham St.Middleboro, MA 02346","$1,397,000.00", 7/9/2008, 
"Concord, Town ofPublic Schools120 Meriam Rd.Concord, MA 01742",Notify email address listed when final publish date assigned.,John Flaherty,978-341-2490 ext. 8120,CAN7/1/20087/10/200800052, ,General Contract , ,Bid award for the removal of all asphalt paving and installation of new asphalt at the Ripley building parking lot.,"Sunshine Paving Corp.89 Meadowbrook Rd.North Chelmsford, MA 01824","$70,700.00", 7/9/2008, 
"Concord, Town ofPublic Schools120 Meriam Rd.Concord, MA 01742",Notify email address listed when final publish date assigned.,John Flaherty,978-341-2490 ext. 8120,CAN7/1/20087/10/200800053, ,General Contract , ,"Bid Award for the removal of all concrete sidewalks and asphalt from the front entrance walkway at the Sanborn building and the installation of new granite curbing, concrete, and asphalt.","Lazaro Paving800 Mount Laurel CircleShirley, MA 01464","$47,250.00", 7/9/2008, 
"Dedham, Town of 55 River St.Dedham, MA 02026",Notify email address listed when final publish date assigned.,David Field,781-751-9350,CAN7/1/20087/10/200800054, ,General Contract , ,FY'09 Asphalt Paving and Resurfacing.,"T.L. Edwards, Inc.100 Wales Ave.Avon, MA 02322","$2,486,760", 7/9/2008, 
"Dedham, Town of 55 River St.Dedham, MA 02026",Notify email address listed when final publish date assigned.,David Field,781-751-9350,CAN7/1/20087/10/200800055, ,General Contract , ,FY'09 Crack Sealing and Micro-Surfacing.,"Sealcoating, Inc.120 Industrial Park Rd.Hingham, MA 02043","$245,200", 7/9/2008, 
"Hamilton, Town ofHousing Authority121 Railroad Ave.Hamilton, MA 01982",Notify email address listed when final publish date assigned.,Julie Martineau,978-468-3981,CAN7/1/20087/10/200800056,DHCD Fish #119015,General Contract , ,Kitchen Renovations at 24 Rust St. Units F and G.,"Roger A. Tremblay Contractors, Inc.10 Colonial Rd. Suite 4Salem, MA 01970","$16,250.00", 7/9/2008, 
"Hampden, Town of Housing Authority26 Spring Meadow LaneHampden, MA 01036",Do not notify email address listed when final publish date assigned.,"Leo R. Yuskus, Senior Vice President",781-890-3980,CAN7/1/20087/10/200800057,120005,Designer Services , ,Water Storage Tank Replacement.,"Kinsmen Corp.P.O. Box 1611735 Londonderry TurnpikeHooksett, NH 03106-6117","$58,900.00", 7/9/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,617-973-7695,CAN7/1/20087/10/200800058,605125,General Contract , ,District 2:  Emergency Repairs to Traffic Signals.,"Republic Intelligent Transportation8 Progress Rd.Billerica, MA 01821","$45,225.00", 7/9/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,617-973-7695,CAN7/1/20087/10/200800059,604936,General Contract , ,District 3:  Dumping Ground Closures at Various Locations.,"Northern Construction Services, LLC775 Pleasant St. Unit 11Weymouth, MA 02189","$415,613.00", 7/9/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,617-973-7695,CAN7/1/20087/10/200800060,604303,General Contract , ,Wareham:  Resurfacing and Related Work on a Section of Interstate 195.,"P.A. Landers, Inc.P. O. Box 217351 Winter St.Hanover, MA 02339","$6,734,274.75", 7/9/2008, 
"Lynn, City of Purchasing Department3 City Hall Square Room 205Lynn, MA 01901",Notify email address listed when final publish date assigned.,Charles E. White,781-586-6893,CAN7/1/20087/10/200800061, ,General Contract , ,Grand Army of the Republic Building Masonry and Window Restoration.,"Folan Waterproofing and Construction Co., Inc.795 Washington St.South Easton, MA 02375","$32,600.00", 7/9/2008, 
"Marlborough, City of140 Main St.Marlborough, MA 01752",Notify email address listed when final publish date assigned.,"Beverly Sleeper, CPO",508-460-3707,CAN7/1/20087/10/200800062,#2008-22,General Contract , ,Removal of one Communitor and Supply and Install one Channel Monster Grinder at the City's Easterly Wastewater Treatment Plant at 860 Boston Post Rd.,"Weston & Sampson CMR, Inc.Five Centennial DrivePeabody, MA 01960","$43,500.00", 7/9/2008, 
"Natick, Town ofPublic Schools13 East Central St.Natick, MA 01760",Do not notify email address listed when final publish date assigned.,Robert Graham,508-647-6504,CAN7/1/20087/10/200800063,08-20,General Contract , ,Auditorium Seat replacement.,"Highland Seating, Inc.12 Welch Ave.Stoughton, MA 02072","$74,170.00", 7/9/2008, 
"Natick, Town ofPublic Schools13 East Central St.Natick, MA 01760",Do not notify email address listed when final publish date assigned.,Robert Graham,508-647-6504,CAN7/1/20087/10/200800064,08-21,General Contract , ,Replace Trane DDC system with ALC DDC system.,"Yankee Technology, Inc.280 Moody St.Ludlow, MA 01056","$79,500", 7/9/2008, 
"Newton, City of1000 Commonwealth Ave.Newton, MA 02459",Do not notify email address listed when final publish date assigned.,Re Cappoli,617-796-1220,CAN7/1/20087/10/200800065,08-45,General Contract , ,Installation of Safety Netting at Newton Commonwealth Golf Course.,"Forenet, Inc.495 Waites Corner Rd.West Kingston, RI 02892","$70,999.98", 7/9/2008, 
"Newton, City Of 1000 Commonwealth Ave.Newton, MA 02459",Do not notify email address listed when final publish date assigned.,Re Cappoli,617-796-1220,CAN7/1/20087/10/200800066,08-44,General Contract , ,"Grass Cutting and Trimming, Removal of Leaves, Mulching and Pruning of Shrubs at 36 Locations.","Level 10 Land Works, LLC729 Farm Rd. Suite JMarlboro, MA 01752","$79,845.00", 7/9/2008, 
"Norfolk, Town ofDepartment of Public Works33 Medway BranchNorfolk, MA  02056",Notify email address listed when final publish date assigned.,James Cray,617-657-0200,CAN7/1/20087/10/200800067, ,General Contract , ,"Gold St. Replacement Well and Appurtenant Work.  Work consists of furnishing all labor, materials, equipment and tools for the completion of the Gold Street Replacement Well and Appurtenant work as described in the contract documents, which includes but is not limited to yard piping, pumping system, instrumentation, and electrical work.","Dankris Builders Corp.6 High St.Plainville, MA 02762","$88,200", 7/9/2008, 
"Norfolk, Town ofDepartment of Public Works33 Medway BranchNorfolk, MA 02056",Do not notify email address listed when final publish date assigned.,"Remo Vito, Jr.",508-528-4990,CAN7/1/20087/10/200800068,143-0801,General Contract , ,"Water Main Improvements and Appurtenant Work at Bush Pond Rd., Park St., Maple St. and Medway Branch.","Tornare Construction Corp.8 Riverside St. G-1Watertown, MA 02472","$579,601.46", 7/9/2008, 
"North Adams, City of 10 Main St.North Adams, MA 01247",Notify email address listed when final publish date assigned.,Laura Cece,413-662-3038,CAN7/1/20087/10/200800069,NA2008-013,General Contract , ,Contract for Phase 1 Mohawk Theater Stabilization.,"Eastern General Contractors, Inc.52-60 Berkshire Ave.Springfield, MA 01109-1708","$1,743,665.00 Overall Bid", 7/9/2008,Amounts included in Overall Bid amount:  Champlain Masonry; Ralph's Blacksmith Shop; DeBrino Caulking; C.W. Construction; Kapiloff's Glass; Northeast Painting; Adams Plumbing & Heating; M. & W. Heating; Collins Electric.
"Pittsfield, City of 70 Allen St.Pittsfield, MA 01201",Do not notify email address listed when final publish date assigned.,Colleen Hunter-Mullett,413-499-9470,CAN7/1/20087/10/200800070,08-073,General Contract , ,Floor Tile Abatement in Crosby Library.,"W.R.S. Environmental Services, Inc.445 Sills Rd. Suite GYaphank, NY 11980","$9,833.60", 7/9/2008, 
